city,lat,lng,admin_name
Tân Uyên,11.0609,106.799,Bình Dương
Đức Thọ,18.5396,105.583,Hà Tĩnh
Gò Dầu,11.0885,106.2635,Tây Ninh
Quán Hành,18.7793,105.646,Nghệ An
Trà Cú,9.6977,106.2583,Trà Vinh
Thới Lai,10.0652,105.5586,Cần Thơ
Bồng Sơn,14.4291,109.0156,Bình Định
Cầu Kè,9.8724,106.055,Trà Vinh
Cờ Đỏ,10.0938,105.4292,Cần Thơ
Tiểu Cần,9.8117,106.1907,Trà Vinh
An Châu,10.4456,105.3862,An Giang
Thanh Bình,10.5619,105.4841,Đồng Tháp
Yên Thành,18.9986,105.4712,Nghệ An
Trảng Bàng,11.0299,106.3575,Tây Ninh
Tĩnh Gia,19.4464,105.7786,Thanh Hóa
Long Phú,9.6102,106.1188,Sóc Trăng
Thị Trấn Phú Mỹ,10.6036,107.054,Bà Rịa-Vũng Tàu
Nghi Xuân,18.6621,105.7557,Hà Tĩnh
Châu Thành,9.8699,106.3494,Trà Vinh
Châu Thành,9.7007,105.902,Sóc Trăng
Vĩnh Thạnh,10.2226,105.3984,Cần Thơ
Hà Lam,15.7387,108.3506,Quảng Nam
Thanh Thủy,21.1755,105.2839,Phú Thọ
Mỹ Thọ,10.4427,105.6951,Đồng Tháp
Thị Trấn Đất Đỏ,10.4909,107.2701,Bà Rịa-Vũng Tàu
Nghèn,18.4512,105.7797,Hà Tĩnh
Duy Xuyên,15.829,108.2596,Quảng Nam
Thị Trấn Giá Rai,9.2379,105.4552,Bạc Liêu
Phong Châu,21.4068,105.3123,Phú Thọ
Diên Khánh,12.2549,109.0933,Khánh Hòa
Nàng Mau,9.7513,105.5345,Hậu Giang
Mỹ Xuyên,9.5601,105.9898,Sóc Trăng
Núi Sập,10.2648,105.2668,An Giang
Nghĩa Hành,15.0457,108.7772,Quảng Ngãi
Đức Phổ,14.8136,108.9593,Quảng Ngãi
Thạch Hà,18.3679,105.8612,Hà Tĩnh
Thị Trấn Ngải Giao,10.6471,107.2458,Bà Rịa-Vũng Tàu
Thanh Ba,21.4988,105.141,Phú Thọ
Bình Sơn,15.2978,108.7612,Quảng Ngãi
Khánh Hải,11.591,109.0405,Ninh Thuận
Vĩnh Châu,9.3244,105.9801,Sóc Trăng
Bình Đại,10.1896,106.6915,Bến Tre
Sông Thao,21.4213,105.1337,Phú Thọ
Cù Lao Dung,9.6731,106.1487,Sóc Trăng
Phụng Hiệp,9.7797,105.7338,Hậu Giang
Tân Hiệp,10.1171,105.2858,Kiến Giang
Giồng Riềng,9.9097,105.3143,Kiến Giang
Phước An,12.713,108.3015,Đắk Lắk
Long Mỹ,9.6814,105.5723,Hậu Giang
Nhà Bàng,10.6177,105.0034,An Giang
Hưng Hóa,21.2549,105.2953,Phú Thọ
Ba Đồn,17.7535,106.4235,Quảng Bình
Thạnh Phú,9.9483,106.5163,Bến Tre
Cái Nước,8.9423,105.0141,Cà Mau
Thị Trấn Hòa Bình,9.2847,105.6292,Bạc Liêu
Gò Quao,9.7332,105.2739,Kiến Giang
Phú Ninh,15.5547,108.4114,Quảng Nam
An Biên,9.8153,105.0637,Kiến Giang
Đồi Ngô,21.3063,106.3867,Bắc Giang
Chí Thạnh,13.3084,109.2152,Phú Yên
Quế Sơn,15.6736,108.2201,Quảng Nam
Phù Mỹ,14.1718,109.0489,Bình Định
Gia Ray,10.9261,107.4017,Đồng Nai
Nho Quan,20.3228,105.7519,Ninh Bình
Thị Trấn Cao Lộc,21.8665,106.7683,Lạng Sơn
Thủ Thừa,10.6023,106.4021,Long An
Phú Lộc,9.4284,105.7411,Sóc Trăng
Cầu Gồ,21.4768,106.1265,Bắc Giang
Thị Trấn Phước Long,9.4375,105.4622,Bạc Liêu
Huỳnh Hữu Nghĩa,9.6354,105.8117,Sóc Trăng
Sa Rài,10.8702,105.4658,Đồng Tháp
Thị Trấn Gành Hào,9.0318,105.4211,Bạc Liêu
Đu,21.7385,105.7039,Thái Nguyên
Núi Thành,15.4319,108.6595,Quảng Nam
Phù Cát,14.0032,109.058,Bình Định
Ái Tử,16.7689,107.165,Quảng Trị
Bến Cầu,11.1105,106.1792,Tây Ninh
Tam Đảo,21.3932,105.6144,Vĩnh Phúc
Trần Văn Thời,9.0771,104.9791,Cà Mau
Thị Trấn Ngan Dừa,9.567,105.4502,Bạc Liêu
Đại Lộc,15.8821,108.1209,Quảng Nam
Duyên Hải,9.635,106.4924,Trà Vinh
Ngọc Lặc,20.0919,105.3676,Thanh Hóa
Buôn Trấp,12.4848,108.0298,Đắk Lắk
Cái Đôi Vàm,8.8571,104.812,Cà Mau
Vạn Giã,12.692,109.2207,Khánh Hòa
Vĩnh Thuận,9.508,105.2575,Kiến Giang
Võ Xu,11.1869,107.5603,Bình Thuận
